#separator:tab
#html:true
In a cathode ray tube, in which direction do the rays travel?	From the <b>cathode</b> towards the <b>anode</b>.
Why are cathode rays themselves invisible, and how are they detected?	They are invisible; their path is seen using <b>fluorescent or phosphorescent</b> materials (e.g. a ZnS coated screen glows where they strike).
How do cathode rays behave in an electric or magnetic field, and what does this prove?	They are deflected as <b>negatively charged particles</b> would be &mdash; deflected towards the <b>positive</b> plate. This proves they are electrons.
Which property of cathode rays proves the electron is present in ALL matter?	Their characteristics (especially <b>e/m</b>) do <b>not depend</b> on the material of the electrodes or the nature of the gas in the tube.
On what three factors does the deflection of cathode rays in a field depend?	1. <b>Magnitude of the charge</b> &mdash; more charge, more deflection<br>2. <b>Mass of the particle</b> &mdash; lighter particle, more deflection<br>3. <b>Strength</b> of the electric or magnetic field
How did Thomson measure e/m of the electron?	He applied an <b>electric field and a magnetic field perpendicular to each other</b> and to the beam, then adjusted them until the two deflections <b>exactly cancelled</b> and the beam went straight through.
Value of e/m for the electron?	<b>1.758820 &times; 10<sup>11</sup> C kg<sup>&minus;1</sup></b>
What did Millikan's oil drop experiment measure, and how?	The <b>charge on the electron</b>. Oil droplets were charged by X-ray ionised air; an electric field was tuned until a drop <b>hung motionless</b> (electric force = gravity), from which its charge was calculated.
What did Millikan's results prove about electric charge?	Charge is <b>quantised</b> &mdash; every measured charge was an <b>integral multiple</b> of 1.602 &times; 10<sup>&minus;19</sup> C.
Charge on the electron?	<b>&minus;1.602 &times; 10<sup>&minus;19</sup> C</b> (often written 1.6022 &times; 10<sup>&minus;19</sup> C)
How is the mass of the electron obtained from Thomson's and Millikan's results?	m<sub>e</sub> = e &divide; (e/m) = (1.602&times;10<sup>&minus;19</sup>) &divide; (1.759&times;10<sup>11</sup>) = <b>9.1094 &times; 10<sup>&minus;31</sup> kg</b>
What are anode rays (canal rays) and who observed them?	Positively charged rays observed by <b>Goldstein (1886)</b> using a <b>perforated cathode</b> in a discharge tube.
Why does e/m of anode rays depend on the gas taken, unlike cathode rays?	Anode rays are the <b>ionised gas atoms themselves</b> (H<sup>+</sup>, He<sup>+</sup>, Ne<sup>+</sup>&hellip;), so their <b>mass changes with the gas</b>. Cathode rays are always the same particle &mdash; the electron.
Which positive particle has the largest e/m, and what is it called?	The one from <b>hydrogen</b>, since it has the smallest mass. It is the <b>proton</b>.
Who discovered the neutron, when, and by what reaction?	<b>Chadwick, 1932</b>, by bombarding beryllium with &alpha;-particles:<br><sup>9</sup>Be + <sup>4</sup>He &rarr; <sup>12</sup>C + <sup>1</sup>n
Why was the neutron discovered last?	It is <b>electrically neutral</b>, so it is not deflected by electric or magnetic fields &mdash; the technique that found the electron and proton is blind to it.
Mass and charge of the proton?	Mass <b>1.67262 &times; 10<sup>&minus;27</sup> kg</b> (1.00727 u); charge <b>+1.602 &times; 10<sup>&minus;19</sup> C</b>
Mass and charge of the neutron?	Mass <b>1.67493 &times; 10<sup>&minus;27</sup> kg</b> (1.00867 u); charge <b>zero</b>. Slightly heavier than the proton.
How many times heavier is a proton than an electron?	About <b>1837 times</b>.
Describe Thomson's model of the atom.	A sphere of <b>uniform positive charge</b> with electrons <b>embedded</b> in it, like seeds in a watermelon ("plum pudding"). It explained <b>electrical neutrality</b> only.
Why did Thomson's model fail?	A positive charge <b>spread thinly</b> over the whole atom could never deflect a fast, heavy &alpha;-particle through a large angle &mdash; but Rutherford observed exactly that.
